Name,Position,Model_Projection_Sum_of_HR_R_RBI_SB,Actual_Sum_of_HR_R_RBI_SB,ADP,Position_Model_Proj_Scaled,Modej_Proj_Scaled,Position_Actuals_Scaled,Actuals_Scaled,OVR_Scaled_Score,Position_Batter_Ranking,Overall_Batter_Ranking
Jonathan Villar,3B,256.6773281,236,974,0.35097887,0.393213696,0.302631579,0.310569106,0.012971258,32,211
Nico Hoerner,2B,237.278144,214,159.2,0.405169266,0.350994647,0.319470699,0.274796748,0.012484743,35,212
Brian Anderson,3B,266.3260406,220,500.8,0.377666458,0.414212489,0.276315789,0.284552846,0.012299862,30,213
Cavan Biggio,3B,263.6900726,222,690.5,0.370375576,0.40847575,0.279605263,0.287804878,0.012174527,31,214
J.D. Davis,3B,295.8764976,192,406.7,0.459400724,0.478524069,0.230263158,0.23902439,0.012099353,22,215
Jonah Heim,C,208.2,194,295.2,0.513198758,0.287710977,0.337320574,0.242276423,0.012066908,19,216
Corey Dickerson,OF,257.2532256,204,679.3,0.44799402,0.394467039,0.263888889,0.258536585,0.012056633,74,217
Pavin Smith,1B,287.5164916,209,978.3,0.345764902,0.460329928,0.277777778,0.266666667,0.011790069,32,218
Omar Narvaez,C,218,182,535.5,0.551242236,0.309039022,0.30861244,0.222764228,0.011711558,13,219
Kevin Newman,SS,260.7609736,188,500.6,0.475808943,0.402101061,0.257142857,0.232520325,0.011439399,29,220
Jace Peterson,2B,246.4252759,195,501.5,0.440025369,0.370901835,0.283553875,0.243902439,0.011287257,30,221
Ramon Urias,2B,238.2570078,204,406.3,0.408899329,0.353124979,0.300567108,0.258536585,0.011220399,34,222
Harold Ramirez,OF,254.1183111,200,361.3,0.436973562,0.387644427,0.256944444,0.25203252,0.010969442,80,223
Nick Solak,2B,232.7949067,207,900.5,0.388085421,0.341237638,0.306238185,0.263414634,0.010682761,38,224
Luis Rengifo,SS,254.0394205,186,289,0.471600999,0.387472735,0.253571429,0.229268293,0.010623318,31,225
Aaron Hicks,OF,248.1192563,202,522.2,0.415884523,0.374588497,0.260416667,0.255284553,0.010356679,82,226
Tyler Stephenson,C,202.4,189,170.3,0.49068323,0.275088256,0.325358852,0.234146341,0.010283081,23,227
